Var1,Var2,Var3,Var4
229,"button",0.832833248,specific
236,"sky",-0.316220446,global
236,"-, train, track",-0.314414676,global
236,"railroad",-0.302584474,global
236,"sand",0.277720223,specific
236,"sunny",0.277720223,specific
236,"-, track, railway",0.693397672,specific
239,"harvest",-0.335792345,global
239,"sunny",-0.333986575,global
239,"work",-0.165187518,global
239,"farm",0.332180805,specific
239,"tractor",0.500979863,specific
239,"field",0.664361611,specific
245,"bar",-0.166993288,global
245,"stool",-0.166993288,global
245,"talk",-0.166993288,global
245,"socialize",0.166090403,specific
245,"sit",0.167896173,specific
245,"relax",0.332180805,specific
249,"man",-0.45379463,global
249,"land",-0.302803355,global
249,"pilot",-0.163642282,global
249,"fly",0.250557719,specific
249,"helicopter",0.328105368,specific
249,"sky",0.7937302,specific
260,"house",-0.446372724,global
260,"tree",-0.239206757,global
260,"sand",-0.237916922,global
260,"poor",0.38407929,specific
260,"mud",0.384724207,specific
260,"hut",0.77862387,specific
261,"people",-0.499174093,global
261,"costume",-0.33308369,global
261,"colorful",-0.167896173,global
261,"hat",0.500076978,specific
261,"fun",0.501882748,specific
261,"dance",0.834966438,specific
268,"white",-0.297234923,global
268,"write",-0.210837592,global
268,"screen",-0.208257921,global
268,"book",0.38750176,specific
268,"newspaper",0.475833843,specific
268,"type",0.475833843,specific
277,"play",-0.525952942,global
277,"boy",-0.499776016,global
277,"garden",-0.22145387,global
277,"son",0.27531253,specific
277,"mother",0.359862539,specific
277,"grass",0.389049081,specific
282,"rabbit",-0.33308369,global
282,"animal",-0.167896173,global
282,"dirt",-0.166993288,global
282,"sit",0.33308369,specific
282,"grass",0.664361611,specific
282,"sheep",0.832257783,specific
285,"person",-0.264234732,global
285,"market",-0.139229473,global
285,"woman",-0.126646867,global
285,"family",0.164394686,specific
285,"watch",0.16521549,specific
285,"game",0.177798097,specific
293,"water",-0.536764139,global
293,"blue",-0.119925838,global
293,"float",-0.11928092,global
293,"ocean",0.387662989,specific
293,"cruise",0.60937996,specific
293,"ship",0.907582259,specific
308,"store",-0.332180805,global
308,"people",-0.168799057,global
308,"build",-0.167896173,global
308,"car",0.333986575,specific
308,"shop",0.499174093,specific
308,"street",0.667070265,specific
313,"woman",-0.50330425,global
313,"dress",-0.302584474,global
313,"stand",-0.302584474,global
313,"room",0.416881296,specific
313,"girl",0.528770425,specific
313,"sport",0.682771316,specific
321,"cap",-0.679460738,global
321,"talk",-0.500733621,global
321,"road",-0.346459128,global
321,"person",0.30198255,specific
321,"telephone",0.437874698,specific
321,"hat",0.591328387,specific
332,"street",-0.475833843,global
332,"people",-0.300855274,global
332,"many",-0.11928092,global
332,"indoor",0.266733123,specific
332,"shop",0.651457331,specific
332,"mall",0.767513661,specific
333,"city",-0.33308369,global
333,"town",-0.168799057,global
333,"colorful",-0.166993288,global
333,"build",0.33308369,specific
333,"river",0.33308369,specific
333,"boat",0.66797315,specific
341,"mountain",-0.500979863,global
341,"stone",-0.332180805,global
341,"island",-0.167896173,global
341,"water",0.498271208,specific
341,"rock",0.834966438,specific
341,"sand",1.000153956,specific
355,"shop, -, cart",-0.333986575,global
355,"shelf",-0.332180805,global
355,"people",-0.167896173,global
355,"person",0.166090403,specific
355,"cart",0.832257783,specific
355,"shop",0.833160668,specific
376,"bike",-0.326159059,global
376,"van",-0.302803355,global
376,"road",-0.231915437,global
376,"highway",0.254450337,specific
376,"traffic",0.255271141,specific
376,"truck",0.573856371,specific
385,"food",-0.333986575,global
385,"hot",-0.33308369,global
385,"plate",-0.33308369,global
385,"cup",0.497368323,specific
385,"breakfast",0.500076978,specific
385,"coffee",0.66616738,specific
390,"game",-0.45379463,global
390,"hit",-0.302803355,global
390,"hand",-0.286801342,global
390,"bat",0.393890603,specific
390,"play",0.498517449,specific
390,"ball",0.558421477,specific
393,"sky",-0.332180805,global
393,"road, -, open",-0.166993288,global
393,"drive",-2.92e-16,global
393,"mountain",0.33488946,specific
393,"road",0.665264496,specific
393,"car",0.832257783,specific
402,"sunny",-0.335792345,global
402,"daytime",-0.33308369,global
402,"people",-0.332180805,global
402,"building",0.498271208,specific
402,"busy",0.500979863,specific
402,"car",0.500979863,specific
